uniprot_id	gene_name	uniprot_KB	protein_name	organism
Q8TDC3	BRSK1	BRSK1_HUMAN	Serine/threonine-protein kinase BRSK1 (EC 2.7.11.1) (Brain-selective kinase 1) (EC 2.7.11.26) (Brain-specific serine/threonine-protein kinase 1) (BR serine/threonine-protein kinase 1) (Serine/threonine-protein kinase SAD-B) (Synapses of Amphids Defective homolog 1) (SAD1 homolog) (hSAD1)	Homo sapiens (Human)
Q8TDR2	STK35	STK35_HUMAN	Serine/threonine-protein kinase 35 (EC 2.7.11.1) (CLP-36-interacting kinase 1) (CLIK-1) (PDLIM1-interacting kinase 1) (Serine/threonine-protein kinase 35 L1)	Homo sapiens (Human)
Q8TDX7	NEK7	NEK7_HUMAN	Serine/threonine-protein kinase Nek7 (EC 2.7.11.1) (Never in mitosis A-related kinase 7) (NimA-related protein kinase 7)	Homo sapiens (Human)
Q8TF76	GRK7	HASP_HUMAN	Serine/threonine-protein kinase haspin (EC 2.7.11.1) (Germ cell-specific gene 2 protein) (H-haspin) (Haploid germ cell-specific nuclear protein kinase)	Homo sapiens (Human)
Q8WTQ7	GRK6	GRK7_HUMAN	G protein-coupled receptor kinase 7 (EC 2.7.11.14) (EC 2.7.11.16) (G protein-coupled receptor kinase GRK7)	Homo sapiens (Human)
Q8WU08	STK32A	ST32A_HUMAN	Serine/threonine-protein kinase 32A (EC 2.7.11.1) (Yet another novel kinase 1)	Homo sapiens (Human)
Q8WXR4	MYO3B	MYO3B_HUMAN	Myosin-IIIb (EC 2.7.11.1)	Homo sapiens (Human)
Q92630	DYRK2	DYRK2_HUMAN	Dual specificity tyrosine-phosphorylation-regulated kinase 2 (EC 2.7.12.1)	Homo sapiens (Human)
Q92772	CDKL2	CDKL2_HUMAN	Cyclin-dependent kinase-like 2 (EC 2.7.11.22) (Protein kinase p56 KKIAMRE) (Serine/threonine-protein kinase KKIAMRE)	Homo sapiens (Human)
Q92918	MAP4K1	M4K1_HUMAN	Mitogen-activated protein kinase kinase kinase kinase 1 (EC 2.7.11.1) (Hematopoietic progenitor kinase) (MAPK/ERK kinase kinase kinase 1) (MEK kinase kinase 1) (MEKKK 1)	Homo sapiens (Human)
Q93100	PHKB	KPBB_HUMAN	Phosphorylase b kinase regulatory subunit beta (Phosphorylase kinase subunit beta)	Homo sapiens (Human)
Q96BR1	SGK3	SGK3_HUMAN	Serine/threonine-protein kinase Sgk3 (EC 2.7.11.1) (Cytokine-independent survival kinase) (Serum/glucocorticoid-regulated kinase 3) (Serum/glucocorticoid-regulated kinase-like)	Homo sapiens (Human)
Q96D53	ADCK4	ADCK4_HUMAN	AarF domain-containing protein kinase 4 (EC 2.7.11.-)	Homo sapiens (Human)
Q96GD4	AURKB	AURKB_HUMAN	Aurora kinase B (EC 2.7.11.1) (Aurora 1) (Aurora- and IPL1-like midbody-associated protein 1) (AIM-1) (Aurora/IPL1-related kinase 2) (ARK-2) (Aurora-related kinase 2) (STK-1) (Serine/threonine-protein kinase 12) (Serine/threonine-protein kinase 5) (Serine/threonine-protein kinase aurora-B)	Homo sapiens (Human)
Q96KB5	PBK	TOPK_HUMAN	Lymphokine-activated killer T-cell-originated protein kinase (EC 2.7.12.2) (Cancer/testis antigen 84) (CT84) (MAPKK-like protein kinase) (Nori-3) (PDZ-binding kinase) (Spermatogenesis-related protein kinase) (SPK) (T-LAK cell-originated protein kinase)	Homo sapiens (Human)
Q96L34	MARK4	MARK4_HUMAN	MAP/microtubule affinity-regulating kinase 4 (EC 2.7.11.1) (MAP/microtubule affinity-regulating kinase-like 1)	Homo sapiens (Human)
Q96NX5	CAMK1G	KCC1G_HUMAN	Calcium/calmodulin-dependent protein kinase type 1G (EC 2.7.11.17) (CaM kinase I gamma) (CaM kinase IG) (CaM-KI gamma) (CaMKI gamma) (CaMKIG) (CaMK-like CREB kinase III) (CLICK III)	Homo sapiens (Human)
Q96PF2	TSSK2	TSSK2_HUMAN	Testis-specific serine/threonine-protein kinase 2 (TSK-2) (TSK2) (TSSK-2) (Testis-specific kinase 2) (EC 2.7.11.1) (DiGeorge syndrome protein G) (DGS-G) (Serine/threonine-protein kinase 22B)	Homo sapiens (Human)
Q96PY6	NEK1	NEK1_HUMAN	Serine/threonine-protein kinase Nek1 (EC 2.7.11.1) (Never in mitosis A-related kinase 1) (NimA-related protein kinase 1) (Renal carcinoma antigen NY-REN-55)	Homo sapiens (Human)
Q96Q15	SMG1	SMG1_HUMAN	Serine/threonine-protein kinase SMG1 (SMG-1) (hSMG-1) (EC 2.7.11.1) (61E3.4) (Lambda/iota protein kinase C-interacting protein) (Lambda-interacting protein)	Homo sapiens (Human)
Q96Q40	CDK15	CDK15_HUMAN	Cyclin-dependent kinase 15 (EC 2.7.11.22) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 7 protein) (Cell division protein kinase 15) (Serine/threonine-protein kinase ALS2CR7) (Serine/threonine-protein kinase PFTAIRE-2)	Homo sapiens (Human)
Q96RG2	PASK	PASK_HUMAN	PAS domain-containing serine/threonine-protein kinase (PAS-kinase) (PASKIN) (hPASK) (EC 2.7.11.1)	Homo sapiens (Human)
Q96RR4	CAMKK2	KKCC2_HUMAN	Calcium/calmodulin-dependent protein kinase kinase 2 (CaM-KK 2) (CaM-kinase kinase 2) (CaMKK 2) (EC 2.7.11.17) (Calcium/calmodulin-dependent protein kinase kinase beta) (CaM-KK beta) (CaM-kinase kinase beta) (CaMKK beta)	Homo sapiens (Human)
Q96S53	TESK2	TESK2_HUMAN	Dual specificity testis-specific protein kinase 2 (EC 2.7.12.1) (Testicular protein kinase 2)	Homo sapiens (Human)
Q96SB4	SRPK1	SRPK1_HUMAN	SRSF protein kinase 1 (EC 2.7.11.1) (SFRS protein kinase 1) (Serine/arginine-rich protein-specific kinase 1) (SR-protein-specific kinase 1)	Homo sapiens (Human)
Q99558	MAP3K13	M3K14_HUMAN	Mitogen-activated protein kinase kinase kinase 14 (EC 2.7.11.25) (NF-kappa-beta-inducing kinase) (HsNIK) (Serine/threonine-protein kinase NIK)	Homo sapiens (Human)
Q99570	PIK3R4	PI3R4_HUMAN	Phosphoinositide 3-kinase regulatory subunit 4 (PI3-kinase regulatory subunit 4) (EC 2.7.11.1) (PI3-kinase p150 subunit) (Phosphoinositide 3-kinase adaptor protein)	Homo sapiens (Human)
Q99640	PKMYT1	PMYT1_HUMAN	Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase (EC 2.7.11.1) (Myt1 kinase)	Homo sapiens (Human)
Q99683	MAP3K5	M3K5_HUMAN	Mitogen-activated protein kinase kinase kinase 5 (EC 2.7.11.25) (Apoptosis signal-regulating kinase 1) (ASK-1) (MAPK/ERK kinase kinase 5) (MEK kinase 5) (MEKK 5)	Homo sapiens (Human)
Q99755	PIP5K1A	PI51A_HUMAN	Phosphatidylinositol 4-phosphate 5-kinase type-1 alpha (PIP5K1-alpha) (PtdIns(4)P-5-kinase 1 alpha) (EC 2.7.1.68) (68 kDa type I phosphatidylinositol 4-phosphate 5-kinase alpha) (Phosphatidylinositol 4-phosphate 5-kinase type I alpha) (PIP5KIalpha)	Homo sapiens (Human)
Q99759	MAP3K2	M3K3_HUMAN	Mitogen-activated protein kinase kinase kinase 3 (EC 2.7.11.25) (MAPK/ERK kinase kinase 3) (MEK kinase 3) (MEKK 3)	Homo sapiens (Human)
Q99986	VRK1	VRK1_HUMAN	Serine/threonine-protein kinase VRK1 (EC 2.7.11.1) (Vaccinia-related kinase 1)	Homo sapiens (Human)
Q9BQI3	EGFR	E2AK1_HUMAN	Eukaryotic translation initiation factor 2-alpha kinase 1 (EC 2.7.11.1) (Heme-controlled repressor) (HCR) (Heme-regulated eukaryotic initiation factor eIF-2-alpha kinase) (Heme-regulated inhibitor) (Hemin-sensitive initiation factor 2-alpha kinase)	Homo sapiens (Human)
Q9BRS2	RIOK1	RIOK1_HUMAN	Serine/threonine-protein kinase RIO1 (EC 2.7.11.1) (RIO kinase 1)	Homo sapiens (Human)
Q9BUB5	MKNK1	MKNK1_HUMAN	MAP kinase-interacting serine/threonine-protein kinase 1 (EC 2.7.11.1) (MAP kinase signal-integrating kinase 1) (MAPK signal-integrating kinase 1) (Mnk1)	Homo sapiens (Human)
Q9BVS4	RIOK2	RIOK2_HUMAN	Serine/threonine-protein kinase RIO2 (EC 2.7.11.1) (RIO kinase 2)	Homo sapiens (Human)
Q9BWU1	CDK19	CDK19_HUMAN	Cyclin-dependent kinase 19 (EC 2.7.11.22) (CDC2-related protein kinase 6) (Cell division cycle 2-like protein kinase 6) (Cell division protein kinase 19) (Cyclin-dependent kinase 11) (Death-preventing kinase)	Homo sapiens (Human)
Q9BXA7	TSSK1B	TSSK1_HUMAN	Testis-specific serine/threonine-protein kinase 1 (TSK-1) (TSK1) (TSSK-1) (Testis-specific kinase 1) (EC 2.7.11.1) (Serine/threonine-protein kinase 22A)	Homo sapiens (Human)
Q9BXU1	STK31	STK31_HUMAN	Serine/threonine-protein kinase 31 (EC 2.7.11.1) (Serine/threonine-protein kinase NYD-SPK) (Sugen kinase 396) (SgK396)	Homo sapiens (Human)
Q9BYP7	WNK3	WNK3_HUMAN	Serine/threonine-protein kinase WNK3 (EC 2.7.11.1) (Protein kinase lysine-deficient 3) (Protein kinase with no lysine 3)	Homo sapiens (Human)
Q9BYT3	STK33	STK33_HUMAN	Serine/threonine-protein kinase 33 (EC 2.7.11.1)	Homo sapiens (Human)
Q9BZL6	PRKD2	KPCD2_HUMAN	Serine/threonine-protein kinase D2 (EC 2.7.11.13) (nPKC-D2)	Homo sapiens (Human)
Q9C098	DCLK3	DCLK3_HUMAN	Serine/threonine-protein kinase DCLK3 (EC 2.7.11.1) (Doublecortin domain-containing protein 3C) (Doublecortin-like and CAM kinase-like 3) (Doublecortin-like kinase 3)	Homo sapiens (Human)
Q9H093	NUAK2	NUAK2_HUMAN	NUAK family SNF1-like kinase 2 (EC 2.7.11.1) (Omphalocele kinase 2) (SNF1/AMP kinase-related kinase) (SNARK)	Homo sapiens (Human)
Q9H0K1	SIK2	SIK2_HUMAN	Serine/threonine-protein kinase SIK2 (EC 2.7.11.1) (Qin-induced kinase) (Salt-inducible kinase 2) (SIK-2) (Serine/threonine-protein kinase SNF1-like kinase 2)	Homo sapiens (Human)
Q9H1R3	MYLK2	MYLK2_HUMAN	Myosin light chain kinase 2, skeletal/cardiac muscle (MLCK2) (EC 2.7.11.18)	Homo sapiens (Human)
Q9H2G2	SLK	SLK_HUMAN	STE20-like serine/threonine-protein kinase (STE20-like kinase) (hSLK) (EC 2.7.11.1) (CTCL tumor antigen se20-9) (STE20-related serine/threonine-protein kinase) (STE20-related kinase) (Serine/threonine-protein kinase 2)	Homo sapiens (Human)
Q9H2K8	TAOK3	TAOK3_HUMAN	Serine/threonine-protein kinase TAO3 (EC 2.7.11.1) (Cutaneous T-cell lymphoma-associated antigen HD-CL-09) (CTCL-associated antigen HD-CL-09) (Dendritic cell-derived protein kinase) (JNK/SAPK-inhibitory kinase) (Jun kinase-inhibitory kinase) (Kinase from chicken homolog A) (hKFC-A) (Thousand and one amino acid protein 3)	Homo sapiens (Human)
Q9H2X6	HIPK1	HIPK2_HUMAN	Homeodomain-interacting protein kinase 2 (hHIPk2) (EC 2.7.11.1)	Homo sapiens (Human)
Q9H3Y6	SRMS	SRMS_HUMAN	Tyrosine-protein kinase Srms (EC 2.7.10.2)	Homo sapiens (Human)
Q9H422	HIPK2	HIPK3_HUMAN	Homeodomain-interacting protein kinase 3 (EC 2.7.11.1) (Androgen receptor-interacting nuclear protein kinase) (ANPK) (Fas-interacting serine/threonine-protein kinase) (FIST) (Homolog of protein kinase YAK1)	Homo sapiens (Human)
Q9H4A3	WNK1	WNK1_HUMAN	Serine/threonine-protein kinase WNK1 (EC 2.7.11.1) (Erythrocyte 65 kDa protein) (p65) (Kinase deficient protein) (Protein kinase lysine-deficient 1) (Protein kinase with no lysine 1) (hWNK1)	Homo sapiens (Human)
Q9H4B4	PLK3	PLK3_HUMAN	Serine/threonine-protein kinase PLK3 (EC 2.7.11.21) (Cytokine-inducible serine/threonine-protein kinase) (FGF-inducible kinase) (Polo-like kinase 3) (PLK-3) (Proliferation-related kinase)	Homo sapiens (Human)
Q9HAZ1	CLK4	CLK4_HUMAN	Dual specificity protein kinase CLK4 (EC 2.7.12.1) (CDC-like kinase 4)	Homo sapiens (Human)
Q9HBH9	MKNK2	MKNK2_HUMAN	MAP kinase-interacting serine/threonine-protein kinase 2 (EC 2.7.11.1) (MAP kinase signal-integrating kinase 2) (MAPK signal-integrating kinase 2) (Mnk2)	Homo sapiens (Human)
Q9HBY8	SGK2	SGK2_HUMAN	Serine/threonine-protein kinase Sgk2 (EC 2.7.11.1) (Serum/glucocorticoid-regulated kinase 2)	Homo sapiens (Human)
Q9HC98	NEK6	NEK6_HUMAN	Serine/threonine-protein kinase Nek6 (EC 2.7.11.1) (Never in mitosis A-related kinase 6) (NimA-related protein kinase 6) (Protein kinase SID6-1512)	Homo sapiens (Human)
Q9HCP0	CSNK1G1	KC1G1_HUMAN	Casein kinase I isoform gamma-1 (CKI-gamma 1) (EC 2.7.11.1)	Homo sapiens (Human)
Q9NQU5	PAK6	PAK6_HUMAN	Serine/threonine-protein kinase PAK 6 (EC 2.7.11.1) (PAK-5) (p21-activated kinase 6) (PAK-6)	Homo sapiens (Human)
Q9NR20	DYRK4	DYRK4_HUMAN	Dual specificity tyrosine-phosphorylation-regulated kinase 4 (EC 2.7.12.1)	Homo sapiens (Human)
Q9NRA0	SPHK2	SPHK2_HUMAN	Sphingosine kinase 2 (SK 2) (SPK 2) (EC 2.7.1.91)	Homo sapiens (Human)
Q9NRH2	SNRK	SNRK_HUMAN	SNF-related serine/threonine-protein kinase (EC 2.7.11.1) (SNF1-related kinase)	Homo sapiens (Human)
Q9NRM7	LATS1	LATS2_HUMAN	Serine/threonine-protein kinase LATS2 (EC 2.7.11.1) (Kinase phosphorylated during mitosis protein) (Large tumor suppressor homolog 2) (Serine/threonine-protein kinase kpm) (Warts-like kinase)	Homo sapiens (Human)
Q9NRP7	STK36	STK36_HUMAN	Serine/threonine-protein kinase 36 (EC 2.7.11.1) (Fused homolog)	Homo sapiens (Human)
Q9NSY1	BMP2K	BMP2K_HUMAN	BMP-2-inducible protein kinase (BIKe) (EC 2.7.11.1)	Homo sapiens (Human)
Q9NWT8	AURKAIP1	AKIP_HUMAN	Aurora kinase A-interacting protein (AURKA-interacting protein) (28S ribosomal protein S38, mitochondrial) (MRP-S38)	Homo sapiens (Human)
Q9NWZ3	IRAK3	IRAK4_HUMAN	Interleukin-1 receptor-associated kinase 4 (IRAK-4) (EC 2.7.11.1) (Renal carcinoma antigen NY-REN-64)	Homo sapiens (Human)
Q9NY57	STK32B	ST32B_HUMAN	Serine/threonine-protein kinase 32B (EC 2.7.11.1) (Yet another novel kinase 2)	Homo sapiens (Human)
Q9NYA1	SPHK1	SPHK1_HUMAN	Sphingosine kinase 1 (SK 1) (SPK 1) (EC 2.7.1.91)	Homo sapiens (Human)
Q9NYL2	MLTK	MLTK_HUMAN	Mitogen-activated protein kinase kinase kinase MLT (EC 2.7.11.25) (Human cervical cancer suppressor gene 4 protein) (HCCS-4) (Leucine zipper- and sterile alpha motif-containing kinase) (MLK-like mitogen-activated protein triple kinase) (Mixed lineage kinase-related kinase) (MLK-related kinase) (MRK) (Sterile alpha motif- and leucine zipper-containing kinase AZK)	Homo sapiens (Human)
Q9NYY3	PLK2	PLK2_HUMAN	Serine/threonine-protein kinase PLK2 (EC 2.7.11.21) (Polo-like kinase 2) (PLK-2) (hPlk2) (Serine/threonine-protein kinase SNK) (hSNK) (Serum-inducible kinase)	Homo sapiens (Human)
Q9NZJ5	EIF2AK2	E2AK3_HUMAN	Eukaryotic translation initiation factor 2-alpha kinase 3 (EC 2.7.11.1) (PRKR-like endoplasmic reticulum kinase) (Pancreatic eIF2-alpha kinase) (HsPEK)	Homo sapiens (Human)
Q9P0L2	MARK1	MARK1_HUMAN	Serine/threonine-protein kinase MARK1 (EC 2.7.11.1) (EC 2.7.11.26) (MAP/microtubule affinity-regulating kinase 1) (PAR1 homolog c) (Par-1c) (Par1c)	Homo sapiens (Human)
Q9P1W9	PIM2	PIM2_HUMAN	Serine/threonine-protein kinase pim-2 (EC 2.7.11.1) (Pim-2h)	Homo sapiens (Human)
Q9P286	PAK7	PAK7_HUMAN	Serine/threonine-protein kinase PAK 7 (EC 2.7.11.1) (p21-activated kinase 5) (PAK-5) (p21-activated kinase 7) (PAK-7)	Homo sapiens (Human)
Q9P289	STK26	STK26_HUMAN	Serine/threonine-protein kinase 26 (EC 2.7.11.1) (MST3 and SOK1-related kinase) (Mammalian STE20-like protein kinase 4) (MST-4) (STE20-like kinase MST4) (Serine/threonine-protein kinase MASK)	Homo sapiens (Human)
Q9P2K8	EIF2AK3	E2AK4_HUMAN	Eukaryotic translation initiation factor 2-alpha kinase 4 (EC 2.7.11.1) (GCN2-like protein)	Homo sapiens (Human)
Q9UBE8	NLK	NLK_HUMAN	Serine/threonine-protein kinase NLK (EC 2.7.11.24) (Nemo-like kinase) (Protein LAK1)	Homo sapiens (Human)
Q9UBF8	PI4KB	PI4KB_HUMAN	Phosphatidylinositol 4-kinase beta (PI4K-beta) (PI4Kbeta) (PtdIns 4-kinase beta) (EC 2.7.1.67) (NPIK) (PI4K92)	Homo sapiens (Human)
Q9UBS0	RPS6KB2	KS6B2_HUMAN	Ribosomal protein S6 kinase beta-2 (S6K-beta-2) (S6K2) (EC 2.7.11.1) (70 kDa ribosomal protein S6 kinase 2) (P70S6K2) (p70-S6K 2) (S6 kinase-related kinase) (SRK) (Serine/threonine-protein kinase 14B) (p70 ribosomal S6 kinase beta) (S6K-beta) (p70 S6 kinase beta) (p70 S6K-beta) (p70 S6KB) (p70-beta)	Homo sapiens (Human)
Q9UBU7	DBF4	DBF4A_HUMAN	Protein DBF4 homolog A (Activator of S phase kinase) (Chiffon homolog A) (DBF4-type zinc finger-containing protein 1)	Homo sapiens (Human)
Q9UEE5	STK17A	ST17A_HUMAN	Serine/threonine-protein kinase 17A (EC 2.7.11.1) (DAP kinase-related apoptosis-inducing protein kinase 1)	Homo sapiens (Human)
Q9UEW8	STK39	STK39_HUMAN	STE20/SPS1-related proline-alanine-rich protein kinase (Ste-20-related kinase) (EC 2.7.11.1) (DCHT) (Serine/threonine-protein kinase 39)	Homo sapiens (Human)
Q9UF33	EPHA5	EPHA6_HUMAN	Ephrin type-A receptor 6 (EC 2.7.10.1) (EPH homology kinase 2) (EHK-2) (EPH-like kinase 12) (EK12)	Homo sapiens (Human)
Q9UGI9	PRKAG3	AAKG3_HUMAN	5'-AMP-activated protein kinase subunit gamma-3 (AMPK gamma3) (AMPK subunit gamma-3)	Homo sapiens (Human)
Q9UGJ0	PRKAG2	AAKG2_HUMAN	5'-AMP-activated protein kinase subunit gamma-2 (AMPK gamma2) (AMPK subunit gamma-2) (H91620p)	Homo sapiens (Human)
Q9UHD2	TBK1	TBK1_HUMAN	Serine/threonine-protein kinase TBK1 (EC 2.7.11.1) (NF-kappa-B-activating kinase) (T2K) (TANK-binding kinase 1)	Homo sapiens (Human)
Q9UIK4	DAPK2	DAPK2_HUMAN	Death-associated protein kinase 2 (DAP kinase 2) (EC 2.7.11.1) (DAP-kinase-related protein 1) (DRP-1)	Homo sapiens (Human)
Q9UK32	RPS6KA6	KS6A6_HUMAN	Ribosomal protein S6 kinase alpha-6 (S6K-alpha-6) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 6) (p90-RSK 6) (p90RSK6) (Ribosomal S6 kinase 4) (RSK-4) (pp90RSK4)	Homo sapiens (Human)
Q9UKE5	TNIK	TNIK_HUMAN	TRAF2 and NCK-interacting protein kinase (EC 2.7.11.1)	Homo sapiens (Human)
Q9UKI8	TLK1	TLK1_HUMAN	Serine/threonine-protein kinase tousled-like 1 (EC 2.7.11.1) (PKU-beta) (Tousled-like kinase 1)	Homo sapiens (Human)
Q9UL54	TAOK2	TAOK2_HUMAN	Serine/threonine-protein kinase TAO2 (EC 2.7.11.1) (Kinase from chicken homolog C) (hKFC-C) (Prostate-derived sterile 20-like kinase 1) (PSK-1) (PSK1) (Prostate-derived STE20-like kinase 1) (Thousand and one amino acid protein kinase 2)	Homo sapiens (Human)
Q9UM73	ALK	ALK_HUMAN	ALK tyrosine kinase receptor (EC 2.7.10.1) (Anaplastic lymphoma kinase) (CD antigen CD246)	Homo sapiens (Human)
Q9UPE1	SRPK3	SRPK3_HUMAN	SRSF protein kinase 3 (EC 2.7.11.1) (Muscle-specific serine kinase 1) (MSSK-1) (Serine/arginine-rich protein-specific kinase 3) (SR-protein-specific kinase 3) (Serine/threonine-protein kinase 23)	Homo sapiens (Human)
Q9UPZ9	HUNK	ICK_HUMAN	Serine/threonine-protein kinase ICK (EC 2.7.11.22) (Intestinal cell kinase) (hICK) (Laryngeal cancer kinase 2) (LCK2) (MAK-related kinase) (MRK)	Homo sapiens (Human)
Q9UQ88	CDK11A	CD11A_HUMAN	Cyclin-dependent kinase 11A (EC 2.7.11.22) (Cell division cycle 2-like protein kinase 2) (Cell division protein kinase 11A) (Galactosyltransferase-associated protein kinase p58/GTA) (PITSLRE serine/threonine-protein kinase CDC2L2)	Homo sapiens (Human)
Q9UQB9	AURKC	AURKC_HUMAN	Aurora kinase C (EC 2.7.11.1) (Aurora 3) (Aurora/IPL1-related kinase 3) (ARK-3) (Aurora-related kinase 3) (Aurora/IPL1/Eg2 protein 2) (Serine/threonine-protein kinase 13) (Serine/threonine-protein kinase aurora-C)	Homo sapiens (Human)
Q9UQM7	CAMK2A	KCC2A_HUMAN	Calcium/calmodulin-dependent protein kinase type II subunit alpha (CaM kinase II subunit alpha) (CaMK-II subunit alpha) (EC 2.7.11.17)	Homo sapiens (Human)
Q9Y243	AKT3	AKT3_HUMAN	RAC-gamma serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase Akt-3) (Protein kinase B gamma) (PKB gamma) (RAC-PK-gamma) (STK-2)	Homo sapiens (Human)
Q9Y2H1	STK38L	ST38L_HUMAN	Serine/threonine-protein kinase 38-like (EC 2.7.11.1) (NDR2 protein kinase) (Nuclear Dbf2-related kinase 2)	Homo sapiens (Human)
Q9Y2H9	MAST1	MAST1_HUMAN	Microtubule-associated serine/threonine-protein kinase 1 (EC 2.7.11.1) (Syntrophin-associated serine/threonine-protein kinase)	Homo sapiens (Human)
Q9Y2K2	SIK3	SIK3_HUMAN	Serine/threonine-protein kinase SIK3 (EC 2.7.11.1) (Salt-inducible kinase 3) (SIK-3) (Serine/threonine-protein kinase QSK)	Homo sapiens (Human)
Q9Y2U5	MAP3K19	M3K2_HUMAN	Mitogen-activated protein kinase kinase kinase 2 (EC 2.7.11.25) (MAPK/ERK kinase kinase 2) (MEK kinase 2) (MEKK 2)	Homo sapiens (Human)
Q9Y3S1	WNK2	WNK2_HUMAN	Serine/threonine-protein kinase WNK2 (EC 2.7.11.1) (Antigen NY-CO-43) (Protein kinase lysine-deficient 2) (Protein kinase with no lysine 2) (Serologically defined colon cancer antigen 43)	Homo sapiens (Human)
Q9Y463	DYRK1B	DYR1B_HUMAN	Dual specificity tyrosine-phosphorylation-regulated kinase 1B (EC 2.7.12.1) (Minibrain-related kinase) (Mirk protein kinase)	Homo sapiens (Human)
Q9Y478	PRKAB1	AAKB1_HUMAN	5'-AMP-activated protein kinase subunit beta-1 (AMPK subunit beta-1) (AMPKb)	Homo sapiens (Human)
Q9Y4K4	MAP4K5	M4K5_HUMAN	Mitogen-activated protein kinase kinase kinase kinase 5 (EC 2.7.11.1) (Kinase homologous to SPS1/STE20) (KHS) (MAPK/ERK kinase kinase kinase 5) (MEK kinase kinase 5) (MEKKK 5)	Homo sapiens (Human)
Q9Y572	RIPK3	RIPK3_HUMAN	Receptor-interacting serine/threonine-protein kinase 3 (EC 2.7.11.1) (RIP-like protein kinase 3) (Receptor-interacting protein 3) (RIP-3)	Homo sapiens (Human)
Q9Y5S2	CDC42BPB	MRCKB_HUMAN	Serine/threonine-protein kinase MRCK beta (EC 2.7.11.1) (CDC42-binding protein kinase beta) (CDC42BP-beta) (DMPK-like beta) (Myotonic dystrophy kinase-related CDC42-binding kinase beta) (MRCK beta) (Myotonic dystrophy protein kinase-like beta)	Homo sapiens (Human)
Q9Y616	IRAK1	IRAK3_HUMAN	Interleukin-1 receptor-associated kinase 3 (IRAK-3) (EC 2.7.11.1) (IL-1 receptor-associated kinase M) (IRAK-M)	Homo sapiens (Human)
Q9Y6E0	STK24	STK24_HUMAN	Serine/threonine-protein kinase 24 (EC 2.7.11.1) (Mammalian STE20-like protein kinase 3) (MST-3) (STE20-like kinase MST3) [Cleaved into: Serine/threonine-protein kinase 24 36 kDa subunit (Mammalian STE20-like protein kinase 3 N-terminal) (MST3/N)	STK24
Q9Y6K9	IKBKE	NEMO_HUMAN	NF-kappa-B essential modulator (NEMO) (FIP-3) (IkB kinase-associated protein 1) (IKKAP1) (Inhibitor of nuclear factor kappa-B kinase subunit gamma) (I-kappa-B kinase subunit gamma) (IKK-gamma) (IKKG) (IkB kinase subunit gamma) (NF-kappa-B essential modifier)	Homo sapiens (Human)
Q9Y6M4	CSNK1G3	KC1G3_HUMAN	Casein kinase I isoform gamma-3 (CKI-gamma 3) (EC 2.7.11.1)	Homo sapiens (Human)
Q9Y6R4	MAP3K3	M3K4_HUMAN	Mitogen-activated protein kinase kinase kinase 4 (EC 2.7.11.25) (MAP three kinase 1) (MAPK/ERK kinase kinase 4) (MEK kinase 4) (MEKK 4)	Homo sapiens (Human)
